stage,name,value,status,detail
topic_quality,topic_3_npmi_coherence,0.3987802574,pass,Requires NPMI coherence of at least 0.00.
topic_quality,topic_3_generic_top_term_ratio,0.1,pass,Share of top terms composed only of generic legal tokens; requires at most 50%.
stability,overall_recovery_rate,0.9103641457,pass,Topic alignment at cosine >= 0.70; every topic must recover in at least 80% of folds.
bootstrap_stability,topic_1_recovery_rate,0.8,pass,Fixed-seed within-deal family bootstrap; cosine >= 0.70; 80/100 replicates recovered the aligned component.
bootstrap_stability,topic_2_recovery_rate,0.96,pass,Fixed-seed within-deal family bootstrap; cosine >= 0.70; 96/100 replicates recovered the aligned component.
bootstrap_stability,topic_3_recovery_rate,0.98,pass,Fixed-seed within-deal family bootstrap; cosine >= 0.70; 98/100 replicates recovered the aligned component.
bootstrap_stability,overall_recovery_rate,0.9133333333,pass,"Complementary robustness diagnostic only, not a topic-selection or relabeling rule; family representatives are resampled with replacement within each deal while preserving every deal's fit-row count and the original fitted vocabulary."
embedding_robustness,lsa_components,50,pass,"Fixed-seed randomized TruncatedSVD of word/bigram TF-IDF; these are local LSA embeddings, not transformer semantic embeddings."
embedding_robustness,lsa_fit_coverage_rate,1,pass,Nonzero LSA rows from the exact NMF fit universe; projected passages are excluded.
embedding_robustness,hdbscan_min_cluster_size,5,pass,"Prespecified sklearn HDBSCAN parameter; min_samples=None, Euclidean metric, EOM selection, and single-cluster solutions disabled."
embedding_robustness,hdbscan_noise_count,976,pass,"Fit-universe passages HDBSCAN marked as noise, including any zero LSA rows."
embedding_robustness,hdbscan_cluster_count,31,pass,"Non-noise HDBSCAN clusters; cluster count is discovered, not set to selected NMF k."
embedding_robustness,hdbscan_nmf_adjusted_rand,0.209684328,pass,ARI on 524 non-noise shared fit rows only; no recovery threshold and no role in model selection.
embedding_robustness,agglomerative_nmf_adjusted_rand,0.1664605414,pass,Cosine/average agglomerative clustering of normalized LSA rows with selected NMF k; ARI uses the same nonzero fit rows and has no role in model selection.
